variable,Mean_Abs_SHAP,Cor_Feature_SHAP,Gradient,Gene,Driving_Direction
MAP,0.39784124174250546,-0.75335054,Water-limited,Sink_Capacity,Negative (-)
Temperature,0.3451011590302435,0.859192089319911,Water-limited,Sink_Capacity,Positive (+)
Moisture,0.15188949385430367,-0.556364639,Water-limited,Sink_Capacity,Negative (-)
MAT,0.15117202213646538,-0.885158861,Water-limited,Sink_Capacity,Negative (-)
NO3-,0.11636301321761328,-0.673127138,Water-limited,Sink_Capacity,Negative (-)
pH,0.07755539361493323,-0.527366238,Water-limited,Sink_Capacity,Negative (-)
TN,0.048381060344747144,0.5322150899229834,Water-limited,Sink_Capacity,Positive (+)
NH4+,0.04477073365672946,0.3959381570039196,Water-limited,Sink_Capacity,Positive (+)
SOC/TN,0.027159269841459634,0.06198624853888611,Water-limited,Sink_Capacity,Positive (+)
SOC,0.02103471494890321,-0.10900709,Water-limited,Sink_Capacity,Negative (-)
MAT,0.21639966168840016,-0.506813327,Water-balanced,Sink_Capacity,Negative (-)
NH4+,0.17600964925967025,-0.825789354,Water-balanced,Sink_Capacity,Negative (-)
pH,0.12901726530498958,-0.680041604,Water-balanced,Sink_Capacity,Negative (-)
Temperature,0.10687755505483697,-0.870816711,Water-balanced,Sink_Capacity,Negative (-)
MAP,0.09045089060128833,-0.424159279,Water-balanced,Sink_Capacity,Negative (-)
Moisture,0.07490267847298777,0.1942362251063974,Water-balanced,Sink_Capacity,Positive (+)
SOC/TN,0.06990446497187285,-0.075556831,Water-balanced,Sink_Capacity,Negative (-)
TN,0.06903053836231784,0.012140772630311483,Water-balanced,Sink_Capacity,Positive (+)
NO3-,0.04416483794405524,-0.152673817,Water-balanced,Sink_Capacity,Negative (-)
SOC,0.01588865624873766,0.17438475059756325,Water-balanced,Sink_Capacity,Positive (+)
NH4+,0.21368859913569502,-0.756713352,Water-surplus,Sink_Capacity,Negative (-)
pH,0.20496524935067176,-0.548612847,Water-surplus,Sink_Capacity,Negative (-)
MAT,0.1772250576350751,0.5691299075706182,Water-surplus,Sink_Capacity,Positive (+)
SOC/TN,0.13313666818974798,-0.278953407,Water-surplus,Sink_Capacity,Negative (-)
MAP,0.12165060357939948,0.5372284842509023,Water-surplus,Sink_Capacity,Positive (+)
NO3-,0.08769225968472084,-0.832753011,Water-surplus,Sink_Capacity,Negative (-)
Temperature,0.07512317520959393,-0.388684889,Water-surplus,Sink_Capacity,Negative (-)
Moisture,0.04413509296095685,0.5014756369000832,Water-surplus,Sink_Capacity,Positive (+)
SOC,0.034422151488449855,0.33025199859446236,Water-surplus,Sink_Capacity,Positive (+)
TN,0.019209119980025603,0.5621463942199255,Water-surplus,Sink_Capacity,Positive (+)
TN,0.16415402274014923,0.673879065517477,Water-saturated,Sink_Capacity,Positive (+)
Temperature,0.15204689418314957,-0.501526911,Water-saturated,Sink_Capacity,Negative (-)
pH,0.124249495267577,0.6383478972374202,Water-saturated,Sink_Capacity,Positive (+)
MAP,0.09804345758620911,-0.26811814,Water-saturated,Sink_Capacity,Negative (-)
NH4+,0.08321381676505553,-0.100032731,Water-saturated,Sink_Capacity,Negative (-)
NO3-,0.07034217471937154,0.450063250248229,Water-saturated,Sink_Capacity,Positive (+)
SOC,0.06798427169342176,-0.633238622,Water-saturated,Sink_Capacity,Negative (-)
MAT,0.05992353066521901,-0.136339822,Water-saturated,Sink_Capacity,Negative (-)
SOC/TN,0.04588953411202965,-0.790336446,Water-saturated,Sink_Capacity,Negative (-)
Moisture,0.020223477952822578,0.544565804323795,Water-saturated,Sink_Capacity,Positive (+)
