variable,Mean_Abs_SHAP,Cor_Feature_SHAP,Gradient,Gene,Driving_Direction
Temperature,0.45004242092228053,-0.4470982131863093,Water-limited,nirS_Mean,Negative (-)
TN,0.20266496674470352,0.9321082261251316,Water-limited,nirS_Mean,Positive (+)
pH,0.17486672639543618,-0.5936474189644659,Water-limited,nirS_Mean,Negative (-)
SOC,0.1704367020826818,0.45574109642391203,Water-limited,nirS_Mean,Positive (+)
NH4+,0.1613382432192153,-0.43611724294262244,Water-limited,nirS_Mean,Negative (-)
MAT,0.14190607211844017,-0.42113238284698373,Water-limited,nirS_Mean,Negative (-)
SOC/TN,0.12434152699001938,-0.5167678297754588,Water-limited,nirS_Mean,Negative (-)
Moisture,0.1149985509912307,0.5108934457131822,Water-limited,nirS_Mean,Positive (+)
NO3-,0.089804615578067,-0.06038285331835854,Water-limited,nirS_Mean,Negative (-)
MAP,0.0684023907005271,-0.2159179953791935,Water-limited,nirS_Mean,Negative (-)
MAP,0.3799145969234613,0.7601116181691879,Water-balanced,nirS_Mean,Positive (+)
MAT,0.3479658843523348,0.31622430544025576,Water-balanced,nirS_Mean,Positive (+)
pH,0.14359353526781604,0.7726251801287828,Water-balanced,nirS_Mean,Positive (+)
Moisture,0.13551847731028296,0.004369352949109114,Water-balanced,nirS_Mean,Positive (+)
NH4+,0.11385848435040438,0.027169792947688957,Water-balanced,nirS_Mean,Positive (+)
Temperature,0.10977860800406561,0.44076850601699036,Water-balanced,nirS_Mean,Positive (+)
TN,0.09670943690029299,0.2675772002977929,Water-balanced,nirS_Mean,Positive (+)
SOC/TN,0.07452331852269535,-0.2839315451117535,Water-balanced,nirS_Mean,Negative (-)
SOC,0.07437130091127502,0.48712697808946415,Water-balanced,nirS_Mean,Positive (+)
NO3-,0.03567859279672825,0.07075640753541705,Water-balanced,nirS_Mean,Positive (+)
SOC/TN,0.27612759101191764,-0.1896659460610952,Water-surplus,nirS_Mean,Negative (-)
MAT,0.27566850940698723,-0.05308230326764707,Water-surplus,nirS_Mean,Negative (-)
pH,0.20125017945941956,0.75660662069640106,Water-surplus,nirS_Mean,Positive (+)
MAP,0.14285570462744351,0.3801107272612279,Water-surplus,nirS_Mean,Positive (+)
SOC,0.1362338129896213,0.8560072433105458,Water-surplus,nirS_Mean,Positive (+)
Moisture,0.1152348532048667,0.9299374880385664,Water-surplus,nirS_Mean,Positive (+)
NH4+,0.04734020731523944,0.8205351800504294,Water-surplus,nirS_Mean,Positive (+)
TN,0.04347481661771693,-0.19704744619076084,Water-surplus,nirS_Mean,Negative (-)
NO3-,0.04086179275397638,0.7815475227334229,Water-surplus,nirS_Mean,Positive (+)
Temperature,0.019360304062670072,-0.31044921934093606,Water-surplus,nirS_Mean,Negative (-)
Temperature,0.30175404554096663,0.7961518521106343,Water-saturated,nirS_Mean,Positive (+)
TN,0.2315600444026087,0.643574745771133,Water-saturated,nirS_Mean,Positive (+)
MAT,0.20124284906948847,-0.6964047922346265,Water-saturated,nirS_Mean,Negative (-)
MAP,0.18365295637617593,0.4097773419961596,Water-saturated,nirS_Mean,Positive (+)
SOC/TN,0.17453771688912928,0.027139978099928515,Water-saturated,nirS_Mean,Positive (+)
pH,0.09148371716373509,0.7900031299336933,Water-saturated,nirS_Mean,Positive (+)
NO3-,0.06905954171443449,0.529741902141197,Water-saturated,nirS_Mean,Positive (+)
SOC,0.05165570134995505,0.7437137332196887,Water-saturated,nirS_Mean,Positive (+)
NH4+,0.043568889348641344,0.4591373399442093,Water-saturated,nirS_Mean,Positive (+)
Moisture,0.03438281619171726,-0.7641815413985896,Water-saturated,nirS_Mean,Negative (-)
