variable,Mean_Abs_SHAP,Cor_Feature_SHAP,Gradient,Gene,Driving_Direction
Temperature,0.24877869398216065,0.6134850314122285,Water-limited,nosZ Clade I_Mean,Positive (+)
MAT,0.2329679680311813,-0.4713816155368157,Water-limited,nosZ Clade I_Mean,Negative (-)
MAP,0.2153017192717392,-0.7144584199077781,Water-limited,nosZ Clade I_Mean,Negative (-)
pH,0.18058200337008348,-0.8655552197157015,Water-limited,nosZ Clade I_Mean,Negative (-)
TN,0.1175986018068256,0.769109675823661,Water-limited,nosZ Clade I_Mean,Positive (+)
NO3-,0.10275413930466835,-0.6238893303262804,Water-limited,nosZ Clade I_Mean,Negative (-)
SOC,0.08212109537458297,0.7015317002393436,Water-limited,nosZ Clade I_Mean,Positive (+)
Moisture,0.06782108057594687,-0.46062514170667523,Water-limited,nosZ Clade I_Mean,Negative (-)
SOC/TN,0.05991854408805326,-0.316628713338155,Water-limited,nosZ Clade I_Mean,Negative (-)
NH4+,0.03153975935567979,-0.16461408689761298,Water-limited,nosZ Clade I_Mean,Negative (-)
MAP,0.3562747815562438,0.7582829869617896,Water-balanced,nosZ Clade I_Mean,Positive (+)
NH4+,0.2333228568637019,-0.9316873515559765,Water-balanced,nosZ Clade I_Mean,Negative (-)
MAT,0.1963068786335902,-0.1422517291781915,Water-balanced,nosZ Clade I_Mean,Negative (-)
SOC/TN,0.13110656175413168,0.3841726321338378,Water-balanced,nosZ Clade I_Mean,Positive (+)
Moisture,0.10421655927008638,0.13400875877038101,Water-balanced,nosZ Clade I_Mean,Positive (+)
Temperature,0.0964974917160968,0.3031031779582538,Water-balanced,nosZ Clade I_Mean,Positive (+)
SOC,0.08498614350553706,0.7537989552005205,Water-balanced,nosZ Clade I_Mean,Positive (+)
TN,0.07761827137567,0.37139747096381304,Water-balanced,nosZ Clade I_Mean,Positive (+)
pH,0.07005351943533039,0.4065698932574905,Water-balanced,nosZ Clade I_Mean,Positive (+)
NO3-,0.06741547323795707,0.5679182470947477,Water-balanced,nosZ Clade I_Mean,Positive (+)
MAT,0.23811987212647787,0.5951739387456372,Water-surplus,nosZ Clade I_Mean,Positive (+)
MAP,0.21511511701610492,0.3802569537847532,Water-surplus,nosZ Clade I_Mean,Positive (+)
pH,0.21429181764787977,-0.20645197733686552,Water-surplus,nosZ Clade I_Mean,Negative (-)
SOC,0.15499376162938142,0.751273731692055,Water-surplus,nosZ Clade I_Mean,Positive (+)
SOC/TN,0.092401702257645435,-0.42453537756620663,Water-surplus,nosZ Clade I_Mean,Negative (-)
NH4+,0.09198432677348486,0.4789230258272085,Water-surplus,nosZ Clade I_Mean,Positive (+)
Temperature,0.08654503203533571,-0.5085245589837897,Water-surplus,nosZ Clade I_Mean,Negative (-)
Moisture,0.07105674543770171,0.4916608528799269,Water-surplus,nosZ Clade I_Mean,Positive (+)
NO3-,0.06553703494283895,-0.8649200197426488,Water-surplus,nosZ Clade I_Mean,Negative (-)
TN,0.050652242264174266,0.3551820131269659,Water-surplus,nosZ Clade I_Mean,Positive (+)
TN,0.4669633809100376,0.565399988166435,Water-saturated,nosZ Clade I_Mean,Positive (+)
SOC/TN,0.1988865080789213,-0.7750030550966576,Water-saturated,nosZ Clade I_Mean,Negative (-)
MAP,0.14093610305493445,-0.18837196249783955,Water-saturated,nosZ Clade I_Mean,Negative (-)
Temperature,0.09392965870799518,0.4376964261613981,Water-saturated,nosZ Clade I_Mean,Positive (+)
NH4+,0.08878754957034933,0.7974887862760857,Water-saturated,nosZ Clade I_Mean,Positive (+)
MAT,0.0679238079558192,0.15287761283248325,Water-saturated,nosZ Clade I_Mean,Positive (+)
SOC,0.059588446046035734,0.297612472959361,Water-saturated,nosZ Clade I_Mean,Positive (+)
NO3-,0.057610871780842274,-0.11448339966080187,Water-saturated,nosZ Clade I_Mean,Negative (-)
pH,0.057010226388719575,0.9233108168961442,Water-saturated,nosZ Clade I_Mean,Positive (+)
Moisture,0.04067475709729315,-0.3498113344666411,Water-saturated,nosZ Clade I_Mean,Negative (-)
